Rod Marsh,1048.0,982.0,932.0,879.0,825.0,734.0,692.0,582.0,544.0,483.0,351.0,254.0,136.0,44.0
Shaun Marsh,1452.0,1321.0,1165.0,1039.0,909.0,727.0,579.0,428.0,417.0,276.0,193.0,81.0
Damien Martyn,1210.0,1109.0,944.0,783.0,682.0,549.0,405.0,289.0,230.0,200.0,141.0,67.0
Bob Massie,32.0,10.0
Greg Matthews,702.0,623.0,527.0,399.0,364.0,359.0,342.0,212.0,97.0,75.0
Tim May,116.0,106.0,95.0,53.0,53.0,29.0,15.0
Joe Mennie,2.75
Tom Moody,486.0,430.0,367.0,363.0,355.0,254.0,203.0,114.0,8.0
Dirk Nannes,19.5,3.5
Michael Neser,4.0
Ashley Noffke,0.0,0.0
Marcus North,253.0,125.0
Simon O'Donnell,330.0,259.0,185.0,128.0,74.0
Kerry O'Keeffe,243.0,195.0,192.0,107.0,67.0,27.0
Tim Paine,388.0,343.0,281.0,224.0,203.0,111.0
Joel Paris,0
Len Pascoe,72.0,57.0,50.0,20.0,20.0
James Pattinson,121.0,120.0,118.0,114.0,79.0,37.0
Wayne B. Phillips,432.0,370.0,279.0,159.0,0
Ricky Ponting,2874.0,2653.0,2549.0,2340.0,2190.0,2032.0,1898.0,1702.0,1495.0,1397.0,1140.0,986.0,829.0,688.0,491.0,346.0,219.0,96.0
Graeme Porter,3.0
Carl Rackemann,48.0,39.0,33.0,18.0,18.0,6.0,4.0
Ian Redpath,1311.0,1208.0,1103.0,944.0,865.0,730.0,658.0,487.0,355.0,263.0,183.0,114.0,97.0
Bruce Reid,52.0,47.0,42.0,39.0,31.0,21.0,13.0
Paul Reiffel,316.0,307.0,290.0,211.0,155.0,132.0,74.0,23.0
Jhye Richardson,43.0,14.0,0.0
Kane Richardson,47.0,42.0,28.0,28.0,9.0,0.0
Greg Ritchie,463.0,428.0,336.0,190.0,106.0
Steve Rixon,135.0,124.0,104.0,50.0
Gavin Robertson,63.0,6.0,5.0
Richie Robinson,22.75
Luke Ronchi,538.0,538.0,473.0,393.0,223.0,124.0,75.0,64.0
Gurinder Sandhu,0
Craig Serjeant,47.769999999999996,21.61
