Mohammad Rafique,14.0,40.0,65.0,72.0,111.0,41.0,19.0,22.0,22.0,29.0,77.0,19.0,13.0
Abdul Razzaq,10.0,22.0,62.0,109.0,35.0,27.0,90.0,88.0,107.0,76.0,134.0,110.0,100.0,60.0,46.0,8.0,0.0
Kumar Sangakkara,203.0,319.0,169.0,199.0,211.0,219.0,137.0,144.0,222.0,287.0,157.0,270.0,103.0,230.0,140.0,85.0
Virender Sehwag,31.0,117.0,219.0,173.0,293.0,319.0,114.0,254.0,201.0,309.0,195.0,147.0,105.0,19.0,1.0
Harbhajan Singh,0,22.0,11.0,21.0,70.0,115.0,60.0,63.0,38.0,38.0,40.0,47.0,28.0,54.0,66.0,8.0,15.0
Yuvraj Singh,150.0,35.0,60.0,77.0,74.0,113.0,74.0,131.0,138.0,169.0,122.0,120.0,139.0,102.0,80.0,98.0,84.0
Upul Tharanga,9.0,56.0,119.0,110.0,48.0,92.0,174.0,71.0,133.0,118.0,118.0,40.0,73.0,165.0,105.0
Chaminda Vaas,20.0,54.0,100.0,64.0,65.0,69.0,38.0,72.0,74.0,54.0,41.0,30.0,57.0,34.0,51.0,33.0
Mohammad Yousuf,58.0,112.0,108.0,117.0,202.0,223.0,112.0,106.0,204.0,203.0,124.0,104.0,120.0
Sean Abbott,4.0
Ashton Agar,46.0,41.0,9.0,5.0,98.0
Fawad Ahmed,0
Terry Alderman,26.0,5.0,18.0,3.0,6.0,23.0,7.0,12.0
Jo Angel,11.0,8.0,4.0
George Bailey,3.0,112.0,75.0,70.0,156.0,65.0
Graeme Beard,0,22.8
Jason Behrendorff,0,0,0
Murray Bennett,6.4,48.0
Michael Bevan,75.0,84.0,102.0,87.0,107.0,77.0,101.0,108.0,79.0,44.0,91.0
Andy Bichel,23.0,71.0,48.0,5.0,8.0,27.0,18.0
Glenn Bishop,6.5
Greg Blewett,25.0,89.0,31.0,214.0,69.0,115.0
Scott Boland,3.0
Doug Bollinger,1.0,30.0,21.0,2.0
David Boon,43.0,110.0,131.0,164.0,135.0,121.0,94.0,200.0,184.0,143.0,131.0,123.0,51.0
Allan Border,84.0,200.0,110.0,83.0,78.0,85.0,113.0,205.0,140.0,196.0,100.0,118.0,126.0,124.0,153.0,162.0,29.0
Nathan Bracken,12.0,14.0,21.0,16.0,37.0,2.0,7.0,0
Ray Bright,30.0,28.0,32.0,33.0,26.0,19.0,17.0,0
Joe Burns,180.0,42.0,170.0,129.0,13.0
Ian Callen,0.0,22.0
Greg Campbell,2.0,6.0
Ryan Campbell,27.0,38.0
Alex Carey,28.75,21.6
Phil Carlson,5.66
Hilton Cartwright,14.25
Greg Chappell,182.0,150.0,176.0,204.0,235.0,124.0,125.0,182.0,144.0,247.0,106.0,131.0,65.0,108.0
Ian Chappell,75.0,63.0,42.0,192.0,145.0,109.0,196.0,111.0,59.0,138.0,165.0,151.0,49.0,11.0
Trevor Chappell,110.0,27.0,14.0
Daniel Christian,9.0,23.0,39.0,4.0
Stuart Clark,32.0,32.0,35.0,39.0,0
Wayne Clark,4.5,1.7,14.4
Michael Clarke,74.0,161.0,187.0,329.0,151.0,168.0,138.0,118.0,145.0,135.0,103.0,151.0,75.0
David Colley,21.0
